addr,population_count,area,density
서울특별시 양천구,476714,17.4,27391.56
서울특별시 동대문구,354403,14.21,24934.36
서울특별시 동작구,400588,16.35,24494.96
서울특별시 중랑구,410417,18.5,22189.69
서울특별시 광진구,357397,17.06,20945.3
서울특별시 구로구,416766,20.12,20715.29
서울특별시 송파구,660676,33.88,19502.66
서울특별시 성북구,450005,24.58,18308.76
서울특별시 강동구,447960,24.59,18217.65
서울특별시 금천구,236302,13.02,18149.53
서울특별시 성동구,302612,16.86,17947.99
서울특별시 서대문구,314974,17.61,17889.38
부산광역시 수영구,178525,10.21,17492.66
부산광역시 연제구,207738,12.1,17172.3
서울특별시 관악구,507133,29.57,17150.63
인천광역시 부평구,548461,32,17137.43
인천광역시 남구,417958,24.84,16825.2
서울특별시 도봉구,347358,20.71,16772.28
서울특별시 은평구,490681,29.7,16519.12
부산광역시 동래구,274685,16.63,16513.15
서울특별시 노원구,565692,35.44,15963.8
부산광역시 중구,45083,2.83,15952.57
경기도 부천시,850319,53.44,15912.4
서울특별시 마포구,378974,23.84,15893.69
서울특별시 영등포구,369064,24.53,15045.68
서울특별시 강서구,596566,41.44,14396.69
서울특별시 강남구,566590,39.5,14343.8
서울특별시 강북구,326534,23.6,13837.95
부산광역시 부산진구,375205,29.68,12641.22
서울특별시 중구,124714,9.96,12520.8
대구광역시 서구,198487,17.33,11455.96
대구광역시 중구,79522,7.06,11271.3
서울특별시 용산구,229795,21.87,10508.93
부산광역시 남구,278004,26.81,10370.15
경기도 안양시,599050,58.47,10245.33
경기도 수원시,1194074,121.05,9864.23
인천광역시 동구,70797,7.19,9844.79
서울특별시 서초구,447099,47,9512.37
대구광역시 달서구,590256,62.34,9468.1
인천광역시 남동구,531022,57.03,9310.91
부산광역시 동구,89623,9.74,9204.87
대구광역시 남구,155655,17.44,8927.38
부산광역시 영도구,125628,14.15,8878.73
경기도 광명시,337847,38.52,8771.42
부산광역시 해운대구,418524,51.47,8132.15
부산광역시 서구,112374,13.94,8060.77
부산광역시 사하구,334299,41.75,8006.99
부산광역시 북구,309106,39.36,7852.39
경기도 군포시,284178,36.41,7804.85
인천광역시 계양구,328831,45.57,7215.77
경기도 성남시,975417,141.66,6885.39
인천광역시 연수구,331068,50.07,6611.76
울산광역시 중구,241827,37.01,6534.31
광주광역시 서구,309377,47.78,6475.13
부산광역시 사상구,232021,36.09,6428.43
서울특별시 종로구,152398,23.91,6373.05
대구광역시 수성구,446401,76.47,5837.93
경기도 구리시,194430,33.31,5836.63
경기도 의정부시,438718,81.54,5380.68
대전광역시 서구,491084,95.49,5142.55
경기도 오산시,209420,42.73,4900.9
울산광역시 동구,173683,36.04,4819.76
대구광역시 북구,439887,94.07,4676.14
울산광역시 남구,339871,73.02,4654.42
전라남도 목포시,236965,51.58,4594.21
경기도 안산시,688257,150.79,4564.21
인천광역시 서구,510962,115.18,4436.02
대전광역시 중구,252138,62.14,4057.4
경기도 고양시,1040483,268.08,3881.28
부산광역시 금정구,244405,65.27,3744.35
광주광역시 북구,439991,120.3,3657.39
광주광역시 남구,219348,60.98,3596.8
전라북도 전주시,652392,205.53,3174.17
경기도 시흥시,404418,135.79,2978.26
경기도 의왕시,155870,53.99,2887.22
대전광역시 대덕구,192061,68.69,2796.08
경기도 하남시,215100,93.03,2312.2
광주광역시 동구,96369,49.21,1958.5
대전광역시 유성구,343873,176.37,1949.72
대구광역시 동구,351641,182.19,1930.06
광주광역시 광산구,403442,222.88,1810.1
경기도 과천시,61690,35.87,1719.97
대전광역시 동구,234721,136.65,1717.65
경기도 용인시,992474,591.32,1678.39
경기도 남양주시,662466,458.02,1446.36
경상남도 창원시,1061617,747.67,1419.9
경기도 김포시,368785,276.59,1333.31
울산광역시 북구,195785,157.33,1244.46
경상남도 김해시,529756,463.36,1143.3
경기도 평택시,473738,458.12,1034.08
경기도 동두천시,97947,95.67,1023.83
충청남도 천안시,621714,636.14,977.32
경기도 화성시,649646,689.73,941.88
충청북도 청주시,836310,940.3,889.41
인천광역시 중구,115702,133.46,866.95
강원도 속초시,82318,105.72,778.63
경기도 광주시,330080,431.05,765.75
부산광역시 기장군,158794,218.3,727.41
충청남도 계룡시,43355,60.72,713.99
전라북도 군산시,276844,395.86,699.36
경상북도 구미시,419788,615.38,682.16
경기도 양주시,206443,310.28,665.34
경상남도 양산시,320400,485.43,660.03
경기도 파주시,431135,672.89,640.72
경상남도 거제시,256486,402.3,637.54
경상북도 경산시,257706,411.73,625.91
부산광역시 강서구,111464,181.51,614.1
전라북도 익산시,301337,506.54,594.89
경상남도 통영시,137626,239.76,574.01
전라남도 여수시,288429,508.88,566.79
충청남도 아산시,303543,542.24,559.8
세종특별자치시,247600,464.87,532.63
대구광역시 달성군,222729,426.68,522.01
강원도 동해시,93085,180.2,516.57
경상남도 진주시,347085,712.96,486.82
제주특별자치도 제주시,471554,978.4,481.96
충청북도 증평군,37448,81.81,457.73
경기도 이천시,210697,461.36,456.68
경상북도 포항시,515994,1129.96,456.65
강원도 원주시,338701,867.82,390.29
전라남도 광양시,153416,462.25,331.89
경기도 안성시,182619,553.41,329.99
전라남도 순천시,279997,910.4,307.55
울산광역시 울주군,218791,757.57,288.81
경상남도 사천시,114690,398.62,287.71
경상북도 칠곡군,122833,450.93,272.4
강원도 춘천시,280771,1116.36,251.5
충청남도 당진시,166823,704.16,236.91
충청남도 서산시,170825,741.19,230.48
충청남도 홍성군,100451,443.98,226.25
충청남도 논산시,122903,554.75,221.55
충청북도 충주시,208197,983.57,211.67
